,ORCA-Fusion-BT,ORCA-Fusion,ORCA_Flash4.0,Kinetix,iXon897Life,Panda4.2
427,0.733658537,0.733658537,0.604905838,0.790235081,0.724550239,0.866962283
428,0.734951916,0.734951916,0.609993723,0.791537071,0.72815311,0.868868502
429,0.737560976,0.737560976,0.616578782,0.79212176,0.731755981,0.87077472
430,0.737560976,0.737560976,0.623163842,0.794514768,0.734258373,0.872680938
431,0.739311498,0.739311498,0.627865662,0.795660036,0.736660287,0.874587156
432,0.741463415,0.741463415,0.634450722,0.797492465,0.741282297,0.876493374
433,0.741463415,0.741463415,0.639152542,0.799885473,0.746086124,0.879123344
434,0.74367108,0.74367108,0.644902699,0.802278481,0.750889952,0.88293578
435,0.745365854,0.745365854,0.650439422,0.806449668,0.75569378,0.885270133
436,0.745365854,0.745365854,0.655254237,0.808872815,0.759368421,0.886850153
437,0.745365854,0.745365854,0.661726303,0.811265823,0.762971292,0.886850153
438,0.74688223,0.74688223,0.666428123,0.813658831,0.766574163,0.887930683
439,0.749268293,0.749268293,0.671129944,0.816051838,0.770177033,0.889836901
440,0.749268293,0.749268293,0.675957313,0.818444846,0.773779904,0.891743119
441,0.751241812,0.751241812,0.681133082,0.820837854,0.777382775,0.893649337
442,0.753170732,0.753170732,0.685235405,0.821422544,0.782143541,0.895555556
443,0.753170732,0.753170732,0.689601381,0.823815552,0.786947368,0.897461774
444,0.755601394,0.755601394,0.692893911,0.826208559,0.790583732,0.899367992
445,0.757073171,0.757073171,0.697457627,0.826793249,0.794186603,0.90127421
446,0.757073171,0.757073171,0.70136221,0.828209765,0.797789474,0.903180428
447,0.757073171,0.757073171,0.704654739,0.829770946,0.801392344,0.905086646
448,0.758812544,0.758812544,0.709679849,0.831826401,0.804995215,0.905198777
449,0.76097561,0.76097561,0.713123038,0.832748644,0.808598086,0.905840979
450,0.76097561,0.76097561,0.716415568,0.83363472,0.812200957,0.907747197
451,0.76097561,0.76097561,0.719708098,0.835726341,0.815803828,0.909653415
452,0.762023693,0.762023693,0.723000628,0.837251356,0.819406699,0.911559633
453,0.7647777,0.7647777,0.726293158,0.838704039,0.823023923,0.913465851
